YEAR,MO,DY,HR,irr
2017,1,16,15,6.37
2017,1,16,16,1.63
2017,1,16,17,0
2017,1,16,18,0
2017,1,16,19,0
2017,1,16,20,0
2017,1,16,21,0
2017,1,16,22,0
2017,1,16,23,0
2017,1,17,0,0
2017,1,17,1,0
2017,1,17,2,0
2017,1,17,3,0
2017,1,17,4,0
2017,1,17,5,0
2017,1,17,6,0.25
2017,1,17,7,1.86
2017,1,17,8,5.95
2017,1,17,9,9.66
2017,1,17,10,9.86
2017,1,17,11,9.83
2017,1,17,12,13.67
2017,1,17,13,6.49
2017,1,17,14,8
2017,1,17,15,4.68
2017,1,17,16,1.43
2017,1,17,17,0
2017,1,17,18,0
2017,1,17,19,0
2017,1,17,20,0
2017,1,17,21,0
2017,1,17,22,0
2017,1,17,23,0
2017,1,18,0,0
2017,1,18,1,0
2017,1,18,2,0
2017,1,18,3,0
2017,1,18,4,0
2017,1,18,5,0
2017,1,18,6,0.22
2017,1,18,7,2.98
2017,1,18,8,9.06
2017,1,18,9,14.66
2017,1,18,10,22.02
2017,1,18,11,28.85
2017,1,18,12,27.43
2017,1,18,13,22.58
2017,1,18,14,15.06
2017,1,18,15,8.12
2017,1,18,16,1.88
2017,1,18,17,0
2017,1,18,18,0
2017,1,18,19,0
2017,1,18,20,0
2017,1,18,21,0
2017,1,18,22,0
2017,1,18,23,0
2017,1,19,0,0
2017,1,19,1,0
2017,1,19,2,0
2017,1,19,3,0
2017,1,19,4,0
2017,1,19,5,0
2017,1,19,6,0.32
2017,1,19,7,4.31
2017,1,19,8,12.25
2017,1,19,9,19.84
2017,1,19,10,31.76
2017,1,19,11,36.71
2017,1,19,12,37.11
2017,1,19,13,31.79
2017,1,19,14,23.2
2017,1,19,15,12.2
2017,1,19,16,2.61
2017,1,19,17,0
2017,1,19,18,0
2017,1,19,19,0
2017,1,19,20,0
2017,1,19,21,0
2017,1,19,22,0
2017,1,19,23,0
2017,1,20,0,0
2017,1,20,1,0
2017,1,20,2,0
2017,1,20,3,0
2017,1,20,4,0
2017,1,20,5,0
2017,1,20,6,0.42
2017,1,20,7,4.92
2017,1,20,8,13.16
2017,1,20,9,21.31
2017,1,20,10,30.45
2017,1,20,11,35.59
2017,1,20,12,36.84
2017,1,20,13,26.47
2017,1,20,14,21.14
2017,1,20,15,11.23
2017,1,20,16,2.59
2017,1,20,17,0
2017,1,20,18,0
2017,1,20,19,0
2017,1,20,20,0
2017,1,20,21,0
2017,1,20,22,0
2017,1,20,23,0
2017,1,21,0,0
2017,1,21,1,0
2017,1,21,2,0
2017,1,21,3,0
2017,1,21,4,0
2017,1,21,5,0
2017,1,21,6,0.37
2017,1,21,7,5.6
2017,1,21,8,16.38
2017,1,21,9,28.16
2017,1,21,10,36.6
2017,1,21,11,39.75
2017,1,21,12,38.44
2017,1,21,13,32.51
2017,1,21,14,22.3
2017,1,21,15,11.47
2017,1,21,16,2.72
2017,1,21,17,0
2017,1,21,18,0
2017,1,21,19,0
2017,1,21,20,0
2017,1,21,21,0
2017,1,21,22,0
2017,1,21,23,0
2017,1,22,0,0
2017,1,22,1,0
2017,1,22,2,0
2017,1,22,3,0
2017,1,22,4,0
2017,1,22,5,0
2017,1,22,6,0.5
2017,1,22,7,7.19
2017,1,22,8,18.49
2017,1,22,9,29.43
2017,1,22,10,37.12
2017,1,22,11,40.66
2017,1,22,12,39.55
2017,1,22,13,34
2017,1,22,14,24.56
2017,1,22,15,12.96
2017,1,22,16,2.98
2017,1,22,17,0
2017,1,22,18,0
2017,1,22,19,0
2017,1,22,20,0
2017,1,22,21,0
2017,1,22,22,0
2017,1,22,23,0
2017,1,23,0,0
2017,1,23,1,0
2017,1,23,2,0
2017,1,23,3,0
2017,1,23,4,0
2017,1,23,5,0
2017,1,23,6,0.52
2017,1,23,7,7.28
2017,1,23,8,18.62
2017,1,23,9,29.62
2017,1,23,10,37.36
2017,1,23,11,40.93
2017,1,23,12,39.97
2017,1,23,13,34.41
2017,1,23,14,24.95
2017,1,23,15,13.26
2017,1,23,16,3.13
2017,1,23,17,0
2017,1,23,18,0
2017,1,23,19,0
2017,1,23,20,0
2017,1,23,21,0
2017,1,23,22,0
2017,1,23,23,0
2017,1,24,0,0
2017,1,24,1,0
2017,1,24,2,0
2017,1,24,3,0
2017,1,24,4,0
2017,1,24,5,0
2017,1,24,6,0.52
2017,1,24,7,7.2
2017,1,24,8,18.41
2017,1,24,9,29.08
2017,1,24,10,36.75
2017,1,24,11,39.98
2017,1,24,12,39.23
2017,1,24,13,33.2
2017,1,24,14,23.41
2017,1,24,15,12.49
2017,1,24,16,3.2
2017,1,24,17,0
2017,1,24,18,0
2017,1,24,19,0
2017,1,24,20,0
2017,1,24,21,0
2017,1,24,22,0
2017,1,24,23,0
2017,1,25,0,0
2017,1,25,1,0
2017,1,25,2,0
2017,1,25,3,0
2017,1,25,4,0
2017,1,25,5,0
2017,1,25,6,0.55
2017,1,25,7,7.31
2017,1,25,8,17.99
2017,1,25,9,28.77
2017,1,25,10,36.34
2017,1,25,11,29.84
2017,1,25,12,28.73
2017,1,25,13,27.04
2017,1,25,14,19.52
2017,1,25,15,10.3
2017,1,25,16,2.59
2017,1,25,17,0
2017,1,25,18,0
2017,1,25,19,0
2017,1,25,20,0
2017,1,25,21,0
2017,1,25,22,0
2017,1,25,23,0
2017,1,26,0,0
2017,1,26,1,0
2017,1,26,2,0
2017,1,26,3,0
2017,1,26,4,0
2017,1,26,5,0
2017,1,26,6,0.46
2017,1,26,7,7.25
2017,1,26,8,18.56
2017,1,26,9,29.43
2017,1,26,10,36.48
2017,1,26,11,40.59
2017,1,26,12,40.17
2017,1,26,13,33.44
2017,1,26,14,23.78
2017,1,26,15,12.69
2017,1,26,16,3.22
2017,1,26,17,0
2017,1,26,18,0
2017,1,26,19,0
2017,1,26,20,0
2017,1,26,21,0
2017,1,26,22,0
2017,1,26,23,0
2017,1,27,0,0
2017,1,27,1,0
2017,1,27,2,0
2017,1,27,3,0
2017,1,27,4,0
2017,1,27,5,0
2017,1,27,6,0.45
2017,1,27,7,6.17
2017,1,27,8,16.34
2017,1,27,9,25.87
2017,1,27,10,29.85
2017,1,27,11,27.69
2017,1,27,12,24.4
2017,1,27,13,15.52
2017,1,27,14,8.78
2017,1,27,15,4.94
2017,1,27,16,2.1
2017,1,27,17,0
2017,1,27,18,0
2017,1,27,19,0
2017,1,27,20,0
2017,1,27,21,0
2017,1,27,22,0
2017,1,27,23,0
2017,1,28,0,0
2017,1,28,1,0
2017,1,28,2,0
2017,1,28,3,0
2017,1,28,4,0
2017,1,28,5,0
2017,1,28,6,0.38
2017,1,28,7,4.62
2017,1,28,8,12.02
2017,1,28,9,22.94
2017,1,28,10,35.09
2017,1,28,11,41.43
2017,1,28,12,39.78
2017,1,28,13,35.02
2017,1,28,14,25.77
2017,1,28,15,14.12
2017,1,28,16,3.74
2017,1,28,17,0
2017,1,28,18,0
2017,1,28,19,0
2017,1,28,20,0
2017,1,28,21,0
2017,1,28,22,0
2017,1,28,23,0
2017,1,29,0,0
2017,1,29,1,0
2017,1,29,2,0
2017,1,29,3,0
2017,1,29,4,0
2017,1,29,5,0
2017,1,29,6,0.63
2017,1,29,7,7.77
2017,1,29,8,19.35
2017,1,29,9,30.48
2017,1,29,10,38.52
2017,1,29,11,41.66
2017,1,29,12,40.91
2017,1,29,13,35.1
2017,1,29,14,25.25
2017,1,29,15,13.7
2017,1,29,16,3.8
2017,1,29,17,0
2017,1,29,18,0
2017,1,29,19,0
2017,1,29,20,0
2017,1,29,21,0
2017,1,29,22,0
2017,1,29,23,0
2017,1,30,0,0
